"","param_value","type","rep","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
"1","autismfanned2-1","autismfanned2","1",0.224832214765101,0.167785234899329,0.134228187919463,0.124161073825503,0.10738255033557,0.100671140939597,0.0335570469798658,0.0335570469798658,0.0335570469798658,0.0335570469798658,0.00671140939597315,0,0,0,0,0,0,0,0
"2","autismfanned2-2","autismfanned2","2",0.590909090909091,0.136363636363636,0.0909090909090909,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0
"3","autismfanned2-3","autismfanned2","3",0.452873563218391,0.282758620689655,0.0758620689655172,0.0551724137931034,0.0413793103448276,0.0275862068965517,0.0275862068965517,0.0275862068965517,0.00919540229885057,0,0,0,0,0,0,0,0,0,0
"4","autismfanned2-4","autismfanned2","4",0.616352201257862,0.0880503144654088,0.0754716981132076,0.0566037735849057,0.050314465408805,0.050314465408805,0.0314465408805031,0.0251572327044025,0.00628930817610063,0,0,0,0,0,0,0,0,0,0
"5","autismfanned2-5","autismfanned2","5",0.407640449438202,0.257078651685393,0.135730337078652,0.0808988764044944,0.0449438202247191,0.0269662921348315,0.0224719101123595,0.018876404494382,0.00539325842696629,0,0,0,0,0,0,0,0,0,0
"6","autismordered-1","autismordered","1",0.333333333333333,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","autismordered-2","autismordered","2",0.4625,0.225,0.125,0.06875,0.06875,0.0125,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0
"8","autismordered-3","autismordered","3",0.315315315315315,0.216216216216216,0.18018018018018,0.171171171171171,0.0810810810810811,0.036036036036036,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","autismordered-4","autismordered","4",0.327272727272727,0.2,0.181818181818182,0.127272727272727,0.0545454545454545,0.0363636363636364,0.0363636363636364,0.0181818181818182,0.0181818181818182,0,0,0,0,0,0,0,0,0,0
"10","autismordered-5","autismordered","5",0.447368421052632,0.105263157894737,0.105263157894737,0.105263157894737,0.105263157894737,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0,0,0,0,0,0,0,0,0
"11","autismunordered-1","autismunordered","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","autismunordered-2","autismunordered","2",0.251968503937008,0.192913385826772,0.177165354330709,0.110236220472441,0.0708661417322835,0.0708661417322835,0.062992125984252,0.015748031496063,0.015748031496063,0.015748031496063,0.015748031496063,0,0,0,0,0,0,0,0
"13","autismunordered-3","autismunordered","3",0.363636363636364,0.181818181818182,0.181818181818182,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","autismunordered-4","autismunordered","4",0.466666666666667,0.233333333333333,0.1,0.1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"15","autismunordered-5","autismunordered","5",0.273972602739726,0.255707762557078,0.182648401826484,0.141552511415525,0.0730593607305936,0.045662100456621,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0
"16","cyclone-1","cyclone","1",0.2,0.14,0.14,0.12,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0
"17","cyclone-2","cyclone","2",0.260869565217391,0.156521739130435,0.147826086956522,0.104347826086957,0.0956521739130435,0.0521739130434783,0.0521739130434783,0.0521739130434783,0.0521739130434783,0.0260869565217391,0,0,0,0,0,0,0,0,0
"18","cyclone-3","cyclone","3",0.175182481751825,0.153284671532847,0.131386861313869,0.109489051094891,0.109489051094891,0.0875912408759124,0.0875912408759124,0.0583941605839416,0.0437956204379562,0.0437956204379562,0,0,0,0,0,0,0,0,0
"19","cyclone-4","cyclone","4",0.266666666666667,0.166666666666667,0.144444444444444,0.133333333333333,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0111111111111111,0,0,0,0,0,0,0
"20","cyclone-5","cyclone","5",0.276595744680851,0.212765957446809,0.127659574468085,0.0957446808510638,0.0638297872340426,0.0638297872340426,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0,0,0,0,0,0,0,0
"21","dialyzerheterogeneous-1","dialyzerheterogeneous","1",0.134416543574594,0.128508124076809,0.122599704579025,0.110782865583456,0.10192023633678,0.0841949778434269,0.0812407680945347,0.0753323485967504,0.0679468242245199,0.0354505169867061,0.0354505169867061,0.0221565731166913,0,0,0,0,0,0,0
"22","dialyzerheterogeneous-2","dialyzerheterogeneous","2",0.350453172205438,0.105740181268882,0.0876132930513595,0.0876132930513595,0.0634441087613293,0.0513595166163142,0.0453172205438067,0.0453172205438067,0.0362537764350453,0.0362537764350453,0.027190332326284,0.0181268882175227,0.0181268882175227,0.0181268882175227,0.00906344410876133,0,0,0,0
"23","dialyzerheterogeneous-3","dialyzerheterogeneous","3",0.306451612903226,0.205645161290323,0.133064516129032,0.0887096774193548,0.0645161290322581,0.0524193548387097,0.0483870967741935,0.0241935483870968,0.0241935483870968,0.0241935483870968,0.0120967741935484,0.0120967741935484,0.00403225806451613,0,0,0,0,0,0
"24","dialyzerheterogeneous-4","dialyzerheterogeneous","4",0.358993902439024,0.0754573170731707,0.0663109756097561,0.0571646341463415,0.0571646341463415,0.0571646341463415,0.0548780487804878,0.0548780487804878,0.0548780487804878,0.0365853658536585,0.0365853658536585,0.024390243902439,0.024390243902439,0.0182926829268293,0.0182926829268293,0.00228658536585366,0.00228658536585366,0,0
"25","dialyzerheterogeneous-5","dialyzerheterogeneous","5",0.20253164556962,0.132208157524613,0.129957805907173,0.10126582278481,0.0843881856540084,0.0807313642756681,0.0506329113924051,0.0379746835443038,0.0371308016877637,0.0337552742616034,0.0225035161744023,0.020253164556962,0.0168776371308017,0.0168776371308017,0.0140646976090014,0.00984528832630098,0.00562587904360056,0.00337552742616034,0
"26","dialyzernonlinear-1","dialyzernonlinear","1",0.444444444444444,0.333333333333333,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","dialyzernonlinear-2","dialyzernonlinear","2",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","dialyzernonlinear-3","dialyzernonlinear","3",0.35,0.3,0.2,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","dialyzernonlinear-4","dialyzernonlinear","4",0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","dialyzernonlinear-5","dialyzernonlinear","5",0.571428571428571,0.285714285714286,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","electoral-1","electoral","1",0.317680428616451,0.317680428616451,0.11188150015758,0.0926567916797983,0.0264733690513709,0.0264733690513709,0.0264733690513709,0.0264733690513709,0.0192247084777813,0.017018594390167,0.0104002521273243,0.00378190986448156,0.00378190986448156,0,0,0,0,0,0
"32","electoral-2","electoral","2",0.299727520435967,0.237965485921889,0.138964577656676,0.0920375416288223,0.0647895852255525,0.036330608537693,0.0308810172570391,0.0227066303360581,0.0217983651226158,0.0181653042688465,0.0181653042688465,0.0112019376324553,0.0036330608537693,0.0036330608537693,0,0,0,0,0
"33","electoral-3","electoral","3",0.379980563654033,0.135811467444121,0.10689990281827,0.0923226433430515,0.0728862973760933,0.0629251700680272,0.043731778425656,0.0284256559766764,0.0242954324586978,0.021865889212828,0.0174927113702624,0.00485908649173955,0.00485908649173955,0.00364431486880466,0,0,0,0,0
"34","electoral-4","electoral","4",0.304222093695778,0.225563909774436,0.164835164835165,0.075187969924812,0.0555234239444766,0.0410641989589358,0.0396182764603817,0.0347021399652979,0.0173510699826489,0.0173510699826489,0.00867553499132447,0.00867553499132447,0.00722961249277039,0,0,0,0,0,0
"35","electoral-5","electoral","5",0.386648122392211,0.166898470097357,0.108484005563282,0.0556328233657858,0.0500695410292072,0.0333796940194715,0.0264255910987483,0.0264255910987483,0.0250347705146036,0.0166898470097357,0.0166898470097357,0.0166898470097357,0.0166898470097357,0.0166898470097357,0.0166898470097357,0.0125173852573018,0.00417246175243394,0.00417246175243394,0
"36","examcorr-1","examcorr","1",0.468053491827637,0.337295690936107,0.0579494799405646,0.0401188707280832,0.0356612184249629,0.0356612184249629,0.0163447251114413,0.00445765230312036,0.00445765230312036,0,0,0,0,0,0,0,0,0,0
"37","examcorr-2","examcorr","2",0.37956204379562,0.262773722627737,0.197080291970803,0.0437956204379562,0.0437956204379562,0.0291970802919708,0.0218978102189781,0.0218978102189781,0,0,0,0,0,0,0,0,0,0,0
"38","examcorr-3","examcorr","3",0.571788413098237,0.287153652392947,0.0428211586901763,0.0302267002518892,0.0302267002518892,0.0151133501259446,0.0151133501259446,0.00755667506297229,0,0,0,0,0,0,0,0,0,0,0
"39","examcorr-4","examcorr","4",0.330188679245283,0.245283018867925,0.226415094339623,0.0566037735849057,0.0566037735849057,0.0283018867924528,0.0188679245283019,0.0188679245283019,0.0188679245283019,0,0,0,0,0,0,0,0,0,0
"40","examcorr-5","examcorr","5",0.816901408450704,0.0845070422535211,0.0704225352112676,0.028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","examfanned-1","examfanned","1",0.255559845559846,0.178918918918919,0.102857142857143,0.0864864864864865,0.0810810810810811,0.0675675675675676,0.0554054054054054,0.0298841698841699,0.0244787644787645,0.0243243243243243,0.0225868725868726,0.0216216216216216,0.0212355212355212,0.0162162162162162,0.00637065637065637,0.00540540540540541,0,0,0
"42","examfanned-2","examfanned","2",0.417989417989418,0.134920634920635,0.124338624338624,0.0952380952380952,0.0714285714285714,0.0476190476190476,0.0317460317460317,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.00793650793650794,0.00529100529100529,0,0,0,0,0,0
"43","examfanned-3","examfanned","3",0.316259678379988,0.140559857057772,0.139964264443121,0.10184633710542,0.0714711137581894,0.0595592614651578,0.0357355568790947,0.0238237045860631,0.0208457415128052,0.0208457415128052,0.0178677784395474,0.0178677784395474,0.0178677784395474,0.00893388921977368,0.00357355568790947,0.00297796307325789,0,0,0
"44","examfanned-4","examfanned","4",0.193700787401575,0.188976377952756,0.184251968503937,0.105511811023622,0.0566929133858268,0.0566929133858268,0.0566929133858268,0.0440944881889764,0.0377952755905512,0.0188976377952756,0.0188976377952756,0.0188976377952756,0.0188976377952756,0,0,0,0,0,0
"45","examfanned-5","examfanned","5",0.193720379146919,0.186018957345972,0.116706161137441,0.101303317535545,0.100118483412322,0.0924170616113744,0.0539099526066351,0.04739336492891,0.04739336492891,0.0396919431279621,0.0154028436018957,0.00118483412322275,0.00118483412322275,0.00118483412322275,0.00118483412322275,0.00118483412322275,0,0,0
"46","examuncorr-1","examuncorr","1",0.454436450839329,0.111510791366906,0.0719424460431655,0.065947242206235,0.0431654676258993,0.0407673860911271,0.0359712230215827,0.0215827338129496,0.0215827338129496,0.0215827338129496,0.0179856115107914,0.0143884892086331,0.0143884892086331,0.0143884892086331,0.0143884892086331,0.0143884892086331,0.0143884892086331,0.00719424460431655,0
"47","examuncorr-2","examuncorr","2",0.206361520558573,0.151280062063615,0.102404965089216,0.0977501939487975,0.0861132660977502,0.0752521334367727,0.0488750969743988,0.04344453064391,0.0372381691233514,0.0372381691233514,0.0325833979829325,0.0325833979829325,0.0162916989914663,0.0162916989914663,0.0162916989914663,0,0,0,0
"48","examuncorr-3","examuncorr","3",0.272727272727273,0.131313131313131,0.121212121212121,0.0909090909090909,0.0848484848484849,0.0808080808080808,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0303030303030303,0.0202020202020202,0.0202020202020202,0.0101010101010101,0.00404040404040404,0,0,0,0,0
"49","examuncorr-4","examuncorr","4",0.13768115942029,0.108695652173913,0.0978260869565217,0.0869565217391304,0.0815217391304348,0.072463768115942,0.0652173913043478,0.0507246376811594,0.0507246376811594,0.0489130434782609,0.0452898550724638,0.0434782608695652,0.0398550724637681,0.0217391304347826,0.0217391304347826,0.0126811594202899,0.0072463768115942,0.0072463768115942,0
"50","examuncorr-5","examuncorr","5",0.213541666666667,0.18359375,0.102864583333333,0.0859375,0.078125,0.0677083333333333,0.046875,0.046875,0.046875,0.0403645833333333,0.0208333333333333,0.01953125,0.015625,0.015625,0.0078125,0.0078125,0,0,0
"51","radontranef-1","radontranef","1",0.331967213114754,0.274590163934426,0.237704918032787,0.114754098360656,0.014344262295082,0.014344262295082,0.00614754098360656,0.00614754098360656,0,0,0,0,0,0,0,0,0,0,0
"52","radontranef-2","radontranef","2",0.544430538172716,0.185857321652065,0.0638297872340426,0.0563204005006258,0.0438047559449312,0.041927409261577,0.0375469336670839,0.00750938673341677,0.00625782227784731,0.00625782227784731,0.00625782227784731,0,0,0,0,0,0,0,0
"53","radontranef-3","radontranef","3",0.4296875,0.310416666666667,0.107291666666667,0.0760416666666667,0.0390625,0.034375,0.003125,0,0,0,0,0,0,0,0,0,0,0,0
"54","radontranef-4","radontranef","4",0.303636363636364,0.241818181818182,0.210909090909091,0.0781818181818182,0.0672727272727273,0.0381818181818182,0.0381818181818182,0.00545454545454545,0.00545454545454545,0.00363636363636364,0.00363636363636364,0.00363636363636364,0,0,0,0,0,0,0
"55","radontranef-5","radontranef","5",0.270833333333333,0.193627450980392,0.142156862745098,0.137745098039216,0.137745098039216,0.0343137254901961,0.0183823529411765,0.0176470588235294,0.0147058823529412,0.0147058823529412,0.00784313725490196,0.00367647058823529,0.00367647058823529,0.00294117647058824,0,0,0,0,0
